,Unnamed: 0,id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0,0,1.52,Premium,F,VS2,62.2,58.0,7.27,7.33,4.55,13619
1,1,1,2.03,Very Good,J,SI2,62.0,58.0,8.06,8.12,5.05,13387
2,2,2,0.7,Ideal,G,VS1,61.2,57.0,5.69,5.73,3.5,2772
3,3,3,0.32,Ideal,G,VS1,61.6,56.0,4.38,4.41,2.71,666
4,4,4,1.7,Premium,G,VS2,62.6,59.0,7.65,7.61,4.77,14453
5,5,5,1.51,Very Good,J,SI1,62.8,58.0,7.34,7.29,4.59,7506
6,6,6,0.74,Ideal,E,VS2,61.8,57.0,5.76,5.79,3.57,3229
7,7,7,1.34,Premium,G,SI2,62.5,57.0,7.0,7.05,4.38,6224
8,8,8,0.3,Ideal,F,IF,62.0,56.0,4.35,4.37,2.7,886
9,9,9,0.3,Good,J,VS1,63.6,57.0,4.26,4.28,2.72,421
10,10,10,1.01,Very Good,G,VS2,63.1,57.0,6.4,6.34,4.03,5914
11,11,11,0.23,Ideal,E,VVS2,62.0,57.0,3.96,3.98,2.46,505
12,12,12,1.01,Good,D,SI1,63.1,56.0,6.41,6.35,4.03,5703
13,13,13,0.31,Ideal,G,VVS1,61.8,56.0,4.37,4.39,2.71,789
14,14,14,1.01,Good,H,SI1,62.6,59.0,6.34,6.4,3.99,4612
15,15,15,0.33,Premium,E,VS2,61.7,59.0,4.39,4.43,2.72,723
16,16,16,1.06,Premium,E,SI2,60.9,59.0,6.61,6.56,4.01,4399
17,17,17,0.26,Very Good,F,VVS2,61.7,57.0,4.1,4.13,2.53,574
18,18,18,1.01,Premium,G,VVS1,61.8,58.0,6.44,6.37,3.96,8701
19,19,19,0.73,Very Good,G,VS2,63.1,57.0,5.77,5.75,3.63,2652
20,20,20,0.7,Ideal,F,VS1,62.2,56.0,5.67,5.72,3.54,3018
21,21,21,0.39,Ideal,E,VS2,61.6,54.0,4.67,4.72,2.89,853
22,22,22,0.25,Ideal,E,VS2,61.4,57.0,4.05,4.08,2.48,470
23,23,23,0.33,Premium,H,SI1,62.1,59.0,4.43,4.46,2.76,631
24,24,24,0.7,Ideal,F,SI1,61.8,54.0,5.71,5.73,3.54,2473
25,25,25,0.4,Very Good,F,VS1,62.3,54.0,4.69,4.73,2.93,905
26,26,26,0.71,Ideal,E,SI1,61.7,56.0,5.74,5.76,3.55,2404
27,27,27,0.5,Ideal,E,VS1,61.4,54.0,5.13,5.18,3.17,1778
28,28,28,1.11,Premium,D,SI1,60.6,59.0,6.74,6.68,4.06,5877
29,29,29,0.37,Premium,F,SI1,61.4,60.0,4.63,4.61,2.83,945
30,30,30,0.38,Ideal,G,SI1,60.7,57.0,4.68,4.73,2.86,755
31,31,31,0.9,Fair,F,SI1,66.8,58.0,6.05,5.99,3.97,2977
32,32,32,0.7,Ideal,I,VS1,62.8,54.0,5.66,5.68,3.56,2390
33,33,33,0.35,Ideal,D,VS1,60.9,56.0,4.58,4.61,2.8,1065
